Timestamp,Order Number,Reminder: Tags Match?,Content,Puller,Area,REMINDER: Content,REMINDER: Packaging?,Error or Correct?,Details,Checker,REMINDER: Signed by Checker?
2/26/2024 13:59:29,00551321,,12WPFJPR2 375/16 ,DH/JA,,4,,Major Count (off by 6% or more) (To calculate divide the ammount off by the total they shouldve pulled) (Ex. shouldve pulled 17 but actually pulled 14. they were three short so 3/17 =.176. .176x100 is 17.6 so they were 17.6% off so this is a major count error.),,,they pulled 355 instead of 375
2/26/2024 15:28:32,551351,,1600A117,LE,,Arkansas Pine ,,It was Correct,,,NA
2/26/2024 15:31:18,551318,,BSHPR 50/16 BBFJPR 10/16,JT/NR,,4 (FJ Prime) ,,It was Correct,,,NA
2/26/2024 15:34:30,551338,,"112#2PINE12 2/12, 112PINE#2PINE 3/16",SN/YJ,,"Shaun (Longs, Ponderosa Pine, V cut spruce ",,It was Correct,,,
2/26/2024 15:37:23,551294,,BSHPR 100/16 314CRPR 50/16 ,JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 15:39:52,551255,,412B11 20/16,RD,,MDF,,It was Correct,,,
2/26/2024 15:43:06,551344,,1600WP 5/12 5/14 5/16,LE/JR,,Arkansas Pine ,,It was Correct,,,
2/26/2024 15:44:51,551384 50/16 ,,314B,RD,,MDF,,It was Correct,,,
2/26/2024 15:46:59,551321,,126FJPR2 50/16 ,JT/NR,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 15:49:12,549818A,,100/16,TW/YJ,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 15:50:32,550083A,,134CRPR 100/16 ,TW / YJ,,4 (FJ Prime) ,,It was Correct,,,
2/26/2024 15:54:40,551316,,1400CF 10/16 54800CF 10/16,HH,,Stain Grade,,Major Count (off by 6% or more) (To calculate divide the ammount off by the total they shouldve pulled) (Ex. shouldve pulled 17 but actually pulled 14. they were three short so 3/17 =.176. .176x100 is 17.6 so they were 17.6% off so this is a major count error.),,,Pulled 9 54800s instead of 10
2/26/2024 15:58:20,551292,,WM 106 63/16,TR,,Stain Grade,,It was Correct,,,
2/26/2024 16:02:32,551321,,1200CF 8/8 4/10 8/14 8/17,TR,,Stain Grade,,It was Correct,,,
2/26/2024 16:05:25,00551344,,1612M 10/12 10/12,SJ/G,,Returns,,It was Correct,,, 
2/26/2024 16:07:14,551330,,158 ADC 20/16 ,BB/BJ,,Azek Frontier,,It was Correct,,,
2/26/2024 16:09:39,00551387,,"1610#2SYP 48/10 
1612AP 24/12
1612#2SYP 24/12
1810#2SYP 24/10
1614AP 24/14
168#2SYP 48/8",LE,,Arkansas Pine ,,It was Correct,,,
